url,site_lot_id,actual_bid,opening_date,ending_date,minimal_increment,lot_status,brand,model,year,appraisal_value,location
https://www.lut.com.br//lote/veiculo-chevrolet-corsa-hatch/84319,84319,"R$ 7.093,37",12/04/2021,17/05/2021 11:00:00,"R$ 250,00",Fechado,Chevrolet,CHEVROLET CORSA HATCH,2003,"R$ 14.186,73",VINHEDO/SP
https://www.lut.com.br//lote/veiculo-fiat-uno-sporting/84317,84317,"R$ 18.259,80",12/04/2021,17/05/2021 10:00:00,"R$ 1.000,00",Fechado,FIAT,FIAT UNO SPORTING,defabricação2014,"R$ 30.433,00",SERTÃOZINHO/SP
https://www.lut.com.br//lote/veiculo-toyota-hilux-sw/84435,84435,"R$ 63.030,00",14/05/2021,17/05/2021 10:00:00,"R$ 2.500,00",Fechado,Toyota,HILUX SW4,s2019,"R$ 63.030,00",RIBEIRÃO PRETO/SP
https://www.lut.com.br//lote/veiculo-volkswagen-fusca/84316,84316,"R$ 1.400,00",12/04/2021,17/05/2021 09:30:00,"R$ 100,00",Fechado,Volkswagen,VOLKSWAGEN FUSCA,Not found,"R$ 2.000,00",RESTINGA/SP
https://www.lut.com.br//lote/veiculo-ford-ka-flex/84597,84597,"R$ 9.936,00",26/04/2021,17/05/2021 09:30:00,"R$ 300,00",Fechado,Ford,KA FLEX,2010,"R$ 16.560,00",BRAGANÇA PAULISTA/SP
https://www.lut.com.br//lote/veiculo-toyota-corolla-xei/84313,84313,"R$ 23.174,75",11/05/2021,14/05/2021 10:00:00,"R$ 1.000,00",Fechado,Toyota,COROLLA XEI,fabricação2004,"R$ 23.174,75",BRASILIA/DF
https://www.lut.com.br//lote/veiculo-fiat-strada-working/84283,84283,"R$ 32.000,00",11/05/2021,14/05/2021 10:00:00,"R$ 1.000,00",Fechado,FIAT,STRADA WORKING,2014,"R$ 32.000,00",ARAÇATUBA/SP
https://www.lut.com.br//lote/veiculo-toyota-corolla-xei/84313,84313,"R$ 23.174,75",11/05/2021,14/05/2021 10:00:00,"R$ 1.000,00",Fechado,Toyota,COROLLA XEI,fabricação2004,"R$ 23.174,75",BRASILIA/DF
https://www.lut.com.br//lote/motocicleta-honda-cg/84267,84267,"R$ 2.910,00",08/04/2021,13/05/2021 10:00:00,"R$ 150,00",Fechado,Honda,HONDA CG 125,2013,"R$ 4.600,00",INDAIATUBA/SP
https://www.lut.com.br//lote/motocicleta-yamaha-neo/84266,84266,"R$ 1.927,20",08/04/2021,13/05/2021 09:30:00,"R$ 100,00",Fechado,Yamaha,YAMAHA NEO,Not found,"R$ 3.212,00",SERTÃOZINHO/SP
https://www.lut.com.br//lote/veiculo-ford-courier/84217,84217,"R$ 13.012,80",05/04/2021,10/05/2021 09:30:00,"R$ 1.000,00",Fechado,Ford,COURIER,2012,"R$ 21.688,00",CAMPINAS/SP
